k,P_n(k)
0.005596679713302821,375.29230212339405
0.008977539139908463,59.245163090345834
0.012358398566514103,16.72293581564342
0.015739257993119746,8.625402745548342
0.019120117419725385,4.028781306793478
0.022500976846331025,2.124423620893152
0.02588183627293667,1.2603414915981022
0.02926269569954231,0.8905199425770561
0.03264355512614795,0.5159383225098806
0.03602441455275359,0.3871356298124136
0.03940527397935924,0.27603128174098296
0.04278613340596488,0.21085438119415295
0.046166992832570516,0.1574559373054431
0.049547852259176156,0.1224844745589653
0.0529287116857818,0.10193190658034808
0.05630957111238744,0.07449357772146058
0.05969043053899308,0.06496162389428038
0.06307128996559871,0.052134433856394775
0.06645214939220437,0.04330515499924333
0.06983300881881,0.035292253583936846
0.07321386824541565,0.029064901327940706
0.0765947276720213,0.025307432893222938
0.07997558709862693,0.020724005471146414
0.08335644652523258,0.018147911721816797
0.0867373059518382,0.015503072324248551
0.09011816537844386,0.013711561541819298
0.09349902480504949,0.01188702673759458
0.09687988423165514,0.01046531822440979
0.10026074365826079,0.009552529542033873
0.10364160308486642,0.008373911661108166
0.10702246251147207,0.007438809031852226
0.1104033219380777,0.006942206091232372
0.11378418136468335,0.005935849727140414
0.11716504079128898,0.005430500776701566
0.12054590021789463,0.00492304566309765
0.12392675964450026,0.004310874466622149
0.1273076190711059,0.0038802913486377373
0.13068847849771154,0.003564730458555991
0.1340693379243172,0.003239187228133019
0.13745019735092284,0.0030014875437967513
0.14083105677752847,0.002696176409724324
0.14421191620413412,0.002462927230470228
0.14759277563073975,0.0022952595399345337
0.1509736350573454,0.002138355176472841
0.15435449448395105,0.001944797451524867
0.15773535391055668,0.0017713724281340742
0.1611162133371623,0.0017092345327913638
0.16449707276376796,0.0015650201343055709
0.1678779321903736,0.0014425139668073899
0.17125879161697927,0.0013145204579563905
0.1746396510435849,0.001262761211096659
0.17802051047019052,0.0011607840761195067
0.18140136989679617,0.0010782712629128263
0.18478222932340183,0.0010138993986652171
0.18816308875000745,0.0009274790536644845
0.1915439481766131,0.0008746409722416454
0.19492480760321873,0.0008280048545156509
0.19830566702982438,0.0007791336575134134
0.20168652645643004,0.00072274231890345
0.20506738588303566,0.0006817677909464073
0.2084482453096413,0.000645859272303362
0.21182910473624694,0.0006054966502918449
0.2152099641628526,0.0005746056111466035
0.21859082358945822,0.0005490666536173741
0.22197168301606388,0.000514921304795048
0.2253525424426695,0.0004853705745834376
0.22873340186927515,0.000460836677324028
0.2321142612958808,0.00043471161394159256
0.23549512072248643,0.0004132568969740903
0.23887598014909206,0.00039250993094570483
0.2422568395756977,0.0003727318536999545
0.24563769900230337,0.00035699653062348736
0.249018558428909,0.0003399596434182493
0.2523994178555147,0.0003239853861392308
0.25578027728212027,0.0003074943901245146
0.2591611367087259,0.0002902768154225117
0.2625419961353316,0.00027908502082449376
0.2659228555619372,0.00026397844947239653
0.2693037149885429,0.0002526814556707581
0.2726845744151485,0.00024408147910535982
0.2760654338417541,0.000232452015938601
0.2794462932683598,0.00021990215100251107
0.2828271526949654,0.00021221825646311398
0.2862080121215711,0.00020053833234025611
0.2895888715481767,0.00019483682607831723
0.2929697309747823,0.0001863690848921191
0.296350590401388,0.00017787210912613397
0.2997314498279936,0.0001715261830106461
0.3031123092545993,0.00016461658685488226
0.3064931686812049,0.00015807475039192483
0.3098740281078105,0.0001525485248331194
0.3132548875344162,0.00014627244816164438
0.3166357469610218,0.00014026602495237253
0.32001660638762747,0.0001355039496189645
0.3233974658142331,0.00012994647908970422
0.3267783252408387,0.00012505911644706497
0.3301591846674444,0.00011970592418084986
0.33354004409405,0.00011484129529422617
0.3369209035206557,0.00011181623216270466
0.34030176294726133,0.00010735607437029087
0.34368262237386693,0.0001034580243632391
0.34706348180047264,0.00010012199179275567
0.35044434122707824,9.678969306455579e-05
0.35382520065368384,9.306147272391609e-05
0.35720606008028954,9.077737010658746e-05
0.36058691950689514,8.695557966667399e-05
0.36396777893350085,8.422925731069346e-05
0.36734863836010645,8.119932930089235e-05
0.37072949778671205,7.874718886292618e-05
0.37411035721331776,7.578118527777984e-05
0.37749121663992335,7.306341380139903e-05
0.38087207606652906,7.127519237965023e-05
0.38425293549313466,6.932808700769837e-05
0.38763379491974026,6.653773971443928e-05
0.39101465434634597,6.47248587813121e-05
0.39439551377295157,6.233422561895024e-05
0.3977763731995572,6.0641278001801115e-05
0.4011572326261629,5.8650489738264105e-05
0.40453809205276847,5.728933487658579e-05
0.4079189514793742,5.547161954971313e-05
0.4112998109059798,5.3648173818370394e-05
0.41468067033258543,5.1983394476225875e-05
0.4180615297591911,5.0199444637873644e-05
0.4214423891857967,4.936636176046714e-05
0.4248232486124024,4.7513058911010805e-05
0.428204108039008,4.6504332111781165e-05
0.4315849674656136,4.4946647621621484e-05
0.4349658268922193,4.368077741413236e-05
0.4383466863188249,4.251049190361995e-05
0.4417275457454306,4.105003691194902e-05
0.4451084051720362,4.03048823633159e-05
0.4484892645986418,3.8954355379233e-05
0.4518701240252475,3.785177896386689e-05
0.4552509834518531,3.6893595651412865e-05
0.45863184287845876,3.589973247932807e-05
0.4620127023050644,3.527916648488697e-05
0.46539356173167,3.408160846283847e-05
0.4687744211582757,3.304874912823061e-05
0.4721552805848813,3.236606132696894e-05
0.475536140011487,3.148691767986626e-05
0.4789169994380926,3.06287951761536e-05
0.4822978588646982,2.9903462947765526e-05
0.48567871829130393,2.9242571183740942e-05
0.48905957771790953,2.8419181771584892e-05
0.49244043714451513,2.7607933848056997e-05
0.49582129657112084,2.7164734193034408e-05
0.4992021559977265,2.6384921083230795e-05
0.5025830154243321,2.5697803262681564e-05
0.5059638748509377,2.501621138006723e-05
0.5093447342775435,2.444799909299748e-05
0.512725593704149,2.3842096501706203e-05
0.5161064531307546,2.3173519230440324e-05
0.5194873125573602,2.272426056774584e-05
0.522868171983966,2.2363971966950382e-05
0.5262490314105717,2.1741510516947666e-05
0.5296298908371773,2.111837765252837e-05
0.5330107502637829,2.071628073240795e-05
0.5363916096903885,2.03075126042815e-05
0.5397724691169942,1.985947066261128e-05
0.5431533285435998,1.92544352768712e-05
0.5465341879702055,1.886393985777481e-05
0.5499150473968111,1.8445641674546333e-05
0.5532959068234167,1.8033073958897588e-05
0.5566767662500224,1.7699022789363832e-05
0.560057625676628,1.724880793203499e-05
0.5634384851032337,1.682455393759416e-05
0.5668193445298393,1.6632759499049924e-05
0.5702002039564449,1.618978648608767e-05
0.5735810633830506,1.596443838414236e-05
0.5769619228096562,1.5584132728294957e-05
0.5803427822362619,1.520385731052107e-05
0.5837236416628675,1.4911429754466388e-05
0.5871045010894731,1.4531918885076414e-05
0.5904853605160788,1.4304077131825423e-05
0.5938662199426844,1.389780118989599e-05
0.5972470793692901,1.3719241982335957e-05
0.6006279387958957,1.341917512417255e-05
0.6040087982225013,1.3138486507387951e-05
0.607389657649107,1.2970566521412958e-05
0.6107705170757126,1.2651521563347942e-05
0.6141513765023183,1.228686792065803e-05
0.6175322359289239,1.2006124369378369e-05
0.6209130953555295,1.178883135435435e-05
0.6242939547821351,1.1608510135825922e-05
0.6276748142087408,1.142078093960619e-05
0.6310556736353465,1.11352343754473e-05
0.6344365330619521,1.099038556882727e-05
0.6378173924885577,1.0742913525636733e-05
0.6411982519151633,1.0470258906245736e-05
0.644579111341769,1.0315261992562251e-05
0.6479599707683747,1.0116893785271705e-05
0.6513408301949803,9.953624905851316e-06
0.654721689621586,9.810522490320455e-06
0.6581025490481915,9.561339830380879e-06
0.6614834084747973,9.328382355446664e-06
0.664864267901403,9.223376263379765e-06
0.6682451273280086,9.042070473354124e-06
0.6716259867546142,8.838543260308967e-06
0.6750068461812198,8.69255306297598e-06
0.6783877056078255,8.517151645818168e-06
0.6817685650344312,8.38465910838961e-06
0.6851494244610368,8.261633465397187e-06
0.6885302838876424,8.068786249240261e-06
0.691911143314248,7.925873462542433e-06
0.6952920027408537,7.869794260252336e-06
0.6986728621674593,7.722459487160038e-06
0.702053721594065,7.499658961617481e-06
0.7054345810206706,7.32934754566109e-06
0.7088154404472762,7.200253759541406e-06
0.7121962998738819,7.1849376418401145e-06
0.7155771593004875,6.976075272601523e-06
0.7189580187270932,6.819577442391337e-06
0.7223388781536988,6.800679694059589e-06
0.7257197375803044,6.5763274805760576e-06
0.7291005970069101,6.464836118558565e-06
0.7324814564335157,6.409934502377919e-06
0.7358623158601214,6.339118474430539e-06
0.739243175286727,6.213051543481365e-06
0.7426240347133326,6.091128533972187e-06
0.7460048941399383,6.016598760140312e-06
0.7493857535665439,5.98279345979069e-06
0.7527666129931496,5.7636830143459714e-06
0.7561474724197552,5.745307227323023e-06
0.7595283318463608,5.574287688602781e-06
0.7629091912729665,5.503172740931315e-06
0.7662900506995721,5.491445049654666e-06
0.7696709101261778,5.404207388788991e-06
0.7730517695527834,5.221006770788848e-06
0.776432628979389,5.1419807352627955e-06
0.7798134884059946,5.008309329096171e-06
0.7831943478326003,5.047135555228208e-06
0.786575207259206,5.072237702631461e-06
0.7899560666858116,4.725545954793376e-06
0.7933369261124172,4.775880493156349e-06
0.7967177855390228,4.524024398868365e-06
0.8000986449656285,4.633908658766711e-06
0.8034795043922343,4.546261534508576e-06
0.8068603638188399,4.430931539269085e-06
0.8102412232454455,4.376988221130505e-06
0.813622082672051,4.389687534133343e-06
0.8170029420986568,4.175175451816487e-06
0.8203838015252625,4.309928522953436e-06
0.8237646609518681,4.019985910221673e-06
0.8271455203784737,4.0475909067790355e-06
0.8305263798050793,3.9858800748079625e-06
0.833907239231685,3.864313290517313e-06
0.8372880986582906,3.539823661309869e-06
0.8406689580848963,3.9950450422988565e-06
0.8440498175115019,3.7081840684051953e-06
0.8474306769381075,3.6597377113207553e-06
0.8508115363647132,3.896860438501112e-06
0.8541923957913188,3.050814716969727e-06
0.8575732552179245,3.059875804199899e-06
0.8609541146445301,3.321380300693714e-06
0.8643349740711357,2.1213428447889704e-06
