k,P3_n(k)
0.005561798841532925,73.90585293387097
0.008903295357283599,20.74784399539034
0.012244791873034275,8.775892228494207
0.015586288388784949,4.574617338073347
0.018927784904535623,2.707638269987714
0.0222692814202863,1.7456345645145193
0.02561077793603697,1.1967917914932553
0.02895227445178765,0.859442502520373
0.03229377096753832,0.6399402517957121
0.035635267483289,0.49055083583717735
0.03897676399903967,0.3851097177225769
0.042318260514790346,0.3084146513276176
0.04565975703054102,0.25119984818190144
0.049001253546291694,0.20758724657872457
0.052342750062042365,0.17371904514864753
0.05568424657779304,0.14698829178427938
0.05902574309354372,0.12558799626544043
0.0623672396092944,0.10823742992324052
0.06570873612504508,0.0940107840775479
0.06905023264079574,0.08222695116491782
0.07239172915654642,0.07237688974600201
0.0757332256722971,0.06407471067965616
0.07907472218804776,0.05702408957894047
0.08241621870379845,0.05099479293644565
0.08575771521954911,0.045806007201384905
0.08909921173529979,0.04131432439735977
0.09244070825105047,0.03740496637963661
0.09578220476680113,0.033985294850535634
0.09912370128255182,0.03097995656543953
0.10246519779830249,0.02832721304018002
0.10580669431405315,0.02597613829633341
0.10914819082980384,0.023884459628883883
0.1124896873455545,0.02201687952537582
0.1158311838613052,0.02034376101536522
0.11917268037705586,0.01884008996024187
0.12251417689280653,0.01748465012915131
0.12585567340855722,0.01625936304527008
0.1291971699243079,0.01514875636048554
0.13253866644005857,0.01413953318447972
0.13588016295580924,0.013220221230532792
0.1392216594715599,0.012380885458520782
0.14256315598731056,0.011612891530139172
0.14590465250306126,0.01090871015315512
0.14924614901881195,0.010261754504573827
0.1525876455345626,0.009666244550023783
0.15592914205031327,0.00911709333791399
0.15927063856606394,0.008609811330203122
0.16261213508181463,0.008140425602581231
0.16595363159756532,0.007705411354654702
0.16929512811331598,0.007301633652333992
0.17263662462906665,0.006926297708197631
0.1759781211448173,0.006576906312509978
0.179319617660568,0.006251223274293213
0.1826611141763187,0.005947241931035319
0.18600261069206936,0.005663157947119915
