k,P3_n(k)
0.005561798841532925,422.4849821398489
0.008903295357283599,75.26292561349848
0.012244791873034275,23.39441183588751
0.015586288388784949,9.657781259812992
0.018927784904535623,4.737705437921352
0.0222692814202863,2.610224607880821
0.02561077793603697,1.5633292998186101
0.02895227445178765,0.9971582965986291
0.03229377096753832,0.6680851772071645
0.035635267483289,0.465629558253166
0.03897676399903967,0.3352067597041425
0.042318260514790346,0.24793166529331612
0.04565975703054102,0.18763367012749632
0.049001253546291694,0.14482413005277414
0.052342750062042365,0.11370860340205309
0.05568424657779304,0.09062513857216913
0.05902574309354372,0.07318946862706004
0.0623672396092944,0.05980810519509811
0.06570873612504508,0.04939115801234849
0.06905023264079574,0.041177668869657034
0.07239172915654642,0.03462643718683262
0.0757332256722971,0.02934609311773779
0.07907472218804776,0.025049312942693497
0.08241621870379845,0.021522238892846556
0.08575771521954911,0.018603681072316577
0.08909921173529979,0.01617073645922943
0.09244070825105047,0.01412869306301843
0.09578220476680113,0.012403842716392418
0.09912370128255182,0.010938298104083343
0.10246519779830249,0.009686210196636019
0.10580669431405315,0.008610976891633029
0.10914819082980384,0.007683161705818
0.1124896873455545,0.006878926837955974
0.1158311838613052,0.00617884276845219
0.11917268037705586,0.005566976211803011
0.12251417689280653,0.005030185742192694
0.12585567340855722,0.0045575737065531
0.1291971699243079,0.004140056717306528
0.13253866644005857,0.0037700268102570113
0.13588016295580924,0.003441082430901433
0.1392216594715599,0.0031478135732081933
0.14256315598731056,0.0028856291895232376
0.14590465250306126,0.002650617802621745
0.14924614901881195,0.0024394343510557755
0.1525876455345626,0.0022492078785057604
0.15592914205031327,0.0020774658740014508
0.15927063856606394,0.0019220719816020527
0.16261213508181463,0.0017811744973746416
0.16595363159756532,0.0016531636109939113
0.16929512811331598,0.0015366357678623158
0.17263662462906665,0.0014303638541946868
0.1759781211448173,0.0013332721635720501
0.179319617660568,0.0012444153052755965
0.1826611141763187,0.0011629603745100675
0.18600261069206936,0.0010881718317515207
0.18934410720782002,0.0010193986400282517
0.1926856037235707,0.0009560632904522705
0.19602710023932138,0.0008976524119900423
0.19936859675507207,0.0008437087145826056
0.20271009327082273,0.0007938240578593814
0.2060515897865734,0.0007476334728411656
0.20939308630232406,0.0007048099927762825
0.21273458281807475,0.0006650601728465263
0.21607607933382544,0.0006281201979033424
0.2194175758495761,0.0005937524934398851
0.22275907236532677,0.0005617427682976106
0.22610056888107744,0.0005318974286531941
0.22944206539682813,0.000504041312039053
0.23278356191257882,0.0004780156978452039
0.23612505842832948,0.000453676557199429
0.23946655494408015,0.0004308930105415402
0.2428080514598308,0.000409545965772045
0.2461495479755815,0.0003895269137112368
0.2494910444913322,0.00037073686086789003
0.25283254100708286,0.0003530853822866634
0.2561740375228335,0.0003364897795981507
0.2595155340385842,0.0003208743314037552
0.26285703055433485,0.0003061696248423707
0.2661985270700855,0.0002923119586536534
0.2695400235858362,0.0002792428093127783
0.2728815201015869,0.00026690835289320375
0.27622301661733756,0.0002552590362465116
0.2795645131330882,0.0002442491918925438
0.2829060096488389,0.00023383669170816518
0.2862475061645896,0.00022398263510503956
0.28958900268034027,0.0002146510679089679
0.29293049919609093,0.00020580872860714289
0.2962719957118416,0.00019742481902464758
0.29961349222759226,0.000189470796835878
0.3029549887433429,0.00018192018761724194
0.30629648525909364,0.00017474841441046616
0.3096379817748443,0.0001679326429963895
0.31297947829059497,0.00016145164128083595
0.31632097480634563,0.00015528565137206072
0.31966247132209635,0.00014941627308522046
0.323003967837847,0.00014382635774699154
0.3263454643535977,0.00013849991129483638
0.32968696086934834,0.00013342200577258633
0.333028457385099,0.00012857869841904036
0.33636995390084967,0.0001239569576299731
0.3397114504166004,0.00011954459514875045
0.34305294693235105,0.00011533020390662782
0.3463944434481017,0.00011130310099281962
0.3497359399638524,0.00010745327528647468
0.3530774364796031,0.00010377133932963632
0.35641893299535377,0.00010024848506153847
0.35976042951110443,9.687644307193588e-05
0.3631019260268551,9.364744506421486e-05
0.36644342254260576,9.055418924886429e-05
0.3697849190583564,8.75898084144189e-05
0.3731264155741071,8.474784044681958e-05
0.3764679120898578,8.202220108969306e-05
0.37980940860560847,7.940715875713086e-05
0.38315090512135913,7.689731122803624e-05
0.3864924016371098,7.448756406653492e-05
0.3898338981528605,7.217311062711705e-05
0.3931753946686112,6.994941351579569e-05
0.39651689118436184,6.781218738997078e-05
0.3998583877001125,6.57573829901221e-05
0.40319988421586317,6.378117230569637e-05
0.40654138073161383,6.187993478607737e-05
