k,P_n(k)
0.005568325201915251,37.418191073709195
0.008922874438430576,31.394829989124045
0.0122774236749459,15.819217044386393
0.015631972911461227,9.078373524676085
0.018986522147976553,4.64448916748235
0.02234107138449188,3.329993407835743
0.025695620621007203,2.5102892373774774
0.02905016985752253,1.7895855890374814
0.03240471909403786,1.2852806797451444
0.03575926833055318,1.0271969957848572
0.03911381756706851,0.7795708012436133
0.04246836680358383,0.6390578281760111
0.04582291604009915,0.5304406580048905
0.049177465276614485,0.3816153566895683
0.052532014513129804,0.3411254052706822
0.05588656374964514,0.26934212782510025
0.05924111298616046,0.23087837179621581
0.06259566222267579,0.17866530819214108
0.06595021145919111,0.15503126474666276
0.06930476069570643,0.13160738509377898
0.07265930993222176,0.11250168720474325
0.0760138591687371,0.09858395426495244
0.07936840840525242,0.08353252032730833
0.08272295764176774,0.07705686191013637
0.08607750687828306,0.06553531950987143
0.08943205611479839,0.054020924340420454
0.09278660535131372,0.0500929561147506
0.09614115458782904,0.04232141851492162
0.09949570382434436,0.037324141483171536
0.1028502530608597,0.033957956180916536
0.10620480229737503,0.03198024312767294
0.10955935153389035,0.028553027985159126
0.11291390077040567,0.02646707095306527
0.11626845000692099,0.023209800238197048
0.11962299924343632,0.021817685728258547
0.12297754847995165,0.01864903785113855
0.12633209771646697,0.01736273145976148
0.1296866469529823,0.0154591633022505
0.1330411961894976,0.01442585226651242
0.13639574542601296,0.012758947394442137
0.13975029466252828,0.01225701775921546
0.1431048438990436,0.010905113910087184
0.14645939313555892,0.010151168275136974
0.14981394237207424,0.009349593369510054
0.15316849160858959,0.00831594194317656
0.1565230408451049,0.007973720425867322
0.15987759008162022,0.006889848932924832
0.16323213931813554,0.00651505150423663
0.16658668855465086,0.005954337989587352
0.1699412377911662,0.005566956935592304
0.17329578702768153,0.005317954306338544
0.17665033626419685,0.004888517621121083
0.1800048855007122,0.004475491156412655
0.18335943473722752,0.004113276540470956
0.18671398397374284,0.0037763527353277307
0.19006853321025816,0.0034834770732621893
0.19342308244677348,0.0031588040640988615
0.19677763168328882,0.00295990527209342
0.20013218091980414,0.0027097349819840567
0.20348673015631946,0.002540260571346626
0.20684127939283478,0.002384715371128577
0.2101958286293501,0.002203673794592819
0.21355037786586545,0.002051996186963076
0.21690492710238077,0.0018848917028171542
0.2202594763388961,0.0017955274365819055
0.2236140255754114,0.0016458538120056661
0.22696857481192673,0.001527602492106724
0.23032312404844207,0.0014282302175547027
0.2336776732849574,0.0013192991854388508
0.2370322225214727,0.0012261085561019248
0.24038677175798806,0.0011436814554865284
0.24374132099450338,0.0010607656797013974
0.2470958702310187,0.0009839705884467397
0.250450419467534,0.0009039316997592092
0.25380496870404934,0.0008523662400664326
0.2571595179405647,0.0008035018256702434
0.26051406717708,0.0007476500277458622
0.2638686164135953,0.0006978276516083282
0.2672231656501106,0.0006464151492720085
0.27057771488662596,0.000601534306818229
0.2739322641231413,0.0005618923845169621
0.2772868133596566,0.0005347401981680506
0.28064136259617195,0.0004905908737276525
0.28399591183268724,0.00046473137622855625
0.2873504610692026,0.0004360354628500811
0.29070501030571794,0.00041053883129663315
0.29405955954223323,0.0003821333822251063
0.2974141087787486,0.0003640791824215028
0.30076865801526387,0.00033985303066039034
0.3041232072517792,0.000323290975580497
0.30747775648829456,0.0002994160100353748
0.31083230572480985,0.00028349263632030845
0.3141868549613252,0.0002682800355557847
0.3175414041978405,0.00025506888469530346
0.32089595343435584,0.00024074961521874336
0.3242505026708712,0.00022722526214536282
0.3276050519073865,0.00021843499669517468
0.3309596011439018,0.0002068914301291766
0.3343141503804171,0.00019751476791133923
0.33766869961693247,0.00018384510284940274
0.3410232488534478,0.00017948976297554634
0.34437779808996316,0.0001687545459483765
0.34773234732647845,0.00016379262699049764
0.35108689656299374,0.00015371087169391474
0.3544414457995091,0.00014821436024333248
0.35779599503602444,0.0001390124327340301
0.3611505442725398,0.000135887077727453
0.3645050935090551,0.0001284680672816646
0.36785964274557037,0.00012417265044024824
0.3712141919820857,0.00012168418940964221
0.37456874121860106,0.00011774112638355606
0.3779232904551164,0.00011439446971111587
0.3812778396916317,0.00011055816991353033
0.384632388928147,0.00010597407353278537
0.38798693816466234,0.00010246215584676454
0.3913414874011777,9.995721127405362e-05
0.39469603663769304,9.790373444979947e-05
0.39805058587420833,9.385423108206195e-05
0.4014051351107237,9.253501658196451e-05
0.40475968434723897,8.963889623458032e-05
0.4081142335837543,8.773739667434408e-05
0.41146878282026966,8.557811689241049e-05
0.41482333205678495,8.24954703038294e-05
0.4181778812933003,8.143674280863936e-05
0.4215324305298156,8.161397320480455e-05
0.42488697976633094,7.925819474278047e-05
0.4282415290028463,7.842926876185852e-05
0.4315960782393616,7.683055939431868e-05
0.4349506274758769,7.500051793685061e-05
0.4383051767123922,7.32959570386136e-05
0.44165972594890757,7.31632658648838e-05
0.4450142751854229,7.281040671801336e-05
0.4483688244219382,7.223738802503759e-05
0.45172337365845355,7.160048385034898e-05
0.45507792289496884,6.988089307537127e-05
0.4584324721314842,6.987532631684001e-05
0.46178702136799954,6.778952814217959e-05
0.46514157060451483,6.685169450544126e-05
0.4684961198410302,6.871169779839311e-05
0.47185066907754547,6.84817430309342e-05
0.4752052183140608,6.760306660681033e-05
0.47855976755057617,6.68912556532038e-05
0.4819143167870915,6.695264872004565e-05
0.4852688660236068,6.55014010504235e-05
0.4886234152601221,6.330497411145384e-05
0.49197796449663744,6.611413155755514e-05
0.4953325137331528,6.596011335194203e-05
0.49868706296966814,6.599233071252024e-05
