lambda2,VarP
0.0025000000000000005,10945.312777232713
0.004235323759133283,11041.463638927606
0.006425422020660114,11154.298957502691
0.009070294784580497,11276.966766657475
0.01216994205089443,11400.452657486025
0.015724363819601916,11513.50668293982
0.01973356009070295,11602.893138069303
0.02419753086419753,11654.118766671425
0.029116276140085665,11652.74968512567
0.03448979591836735,11586.300190428254
0.04031809019904258,11446.452014710518
0.04660115898211137,11231.066465290958
0.053339002267573675,10945.182093046944
0.06053162005542956,10600.1286444264
0.068179012345679,10210.25817119952
0.07628117913832197,9787.737202851744
0.0848381204333585,9337.217014636068
0.09384983623078859,8853.398713270539
0.10331632653061222,8324.518640813058
0.1132375913328294,7742.648604947148
0.12361363063744014,7117.466804464881
0.13444444444444442,6485.674546167783
0.14573003275384225,5907.032752371744
0.15747039556563364,5443.222439131499
0.16966553287981853,5126.815476652496
0.18231544469639702,4938.178818968886
0.19542013101536904,4808.54406675505
0.20897959183673462,4652.91640062455
0.22299382716049376,4414.511660427596
0.23746283698664644,4090.8863890408015
0.25238662131519274,3724.1574169165906
0.2677651801461325,3366.2029059655356
0.28359851347946585,3048.605863677854
0.29988662131519267,2777.492697103823
0.31662950365331316,2546.6018341795984
0.3338271604938271,2348.4230594260475
0.3514795918367347,2175.401810319042
0.36958679768203573,2019.60996672045
0.3881487780297304,1876.6886273959922
0.40716553287981855,1747.4845039681823
0.42663706223230036,1632.4560608926072
0.44656336608717556,1526.5686463544732
0.46694444444444444,1422.952644669894
0.48778029730410677,1320.8595282779768
0.5090709246661628,1227.386607710375
0.5308163265306122,1149.5591471960934
0.5530165028974553,1085.525151981728
0.5756714537666918,1028.3466867674235
0.5987811791383219,977.132150392671
0.6223456790123456,932.4299013871982
0.6463649533887628,884.9708848700988
0.6708390022675736,829.8605913960296
0.6957678256487779,779.3090694277811
0.7211514235323759,738.761483753424
0.7469897959183672,699.070287922519
0.7732829428067522,661.9888945630618
0.8000308641975308,633.5160915609724
0.8272335600907029,607.2037709882095
0.8548910304862685,580.0015961517905
0.8830032753842277,554.3770077779142
0.9115702947845804,530.366745153435
0.9405920886873268,508.7957355825711
0.9700686570924665,487.84810914979477
1.0,468.3577708557789
