k,P_dir(k)
0.0013810679320049757,3361.9611912039463
0.004143203796014927,962.083654376381
0.006905339660024878,789.3772165960543
0.009667475524034831,358.8147308613482
0.01242961138804478,181.02830880642202
0.015191747252054733,195.4172429098438
0.017953883116064683,167.6484512431862
0.020716018980074635,153.2568683388203
0.023478154844084588,108.59980642980835
0.02624029070809454,100.83972340911131
0.02900242657210449,89.68531938093
0.031764562436114446,60.36289602247687
0.03452669830012439,35.15217692205032
0.037288834164134345,30.539739218987442
0.0400509700281443,39.630409438819996
0.04281310589215424,28.537346887319213
0.0455752417561642,24.8242777390992
0.04833737762017415,19.60113741144002
0.0510995134841841,18.96330248490095
0.053861649348194054,18.248534840539552
0.056623785212204,13.32726987075883
0.05938592107621396,11.186225441493308
0.062148056940223906,9.19598185521272
0.06491019280423385,8.728036589424642
0.06767232866824381,10.537776064009547
0.07043446453225377,8.832199332788965
0.07319660039626372,7.499476229385023
0.07595873626027366,6.375517593626762
0.07872087212428361,5.946178609831097
0.08148300798829357,4.116202895741676
0.08424514385230353,4.701655527337401
0.08700727971631347,4.0052627781248855
0.08976941558032342,3.4021401337081
0.09253155144433337,3.8923027597132505
0.09529368730834333,3.394317924752674
0.09805582317235328,2.7220960360304813
0.10081795903636323,2.199302159120969
0.10358009490037318,2.208277997208166
0.10634223076438312,2.303900239860102
0.10910436662839308,2.1222685494474676
0.11186650249240304,1.9675272441839413
0.11462863835641299,1.5350562347458343
0.11739077422042293,1.5267892155455633
0.12015291008443288,1.329048035715662
0.12291504594844284,1.3048074867144441
0.1256771818124528,1.0668254715166974
0.12843931767646274,0.994910041974527
0.1312014535404727,1.1110974120389114
0.13396358940448266,0.8894487818568314
0.13672572526849258,0.8542831853875651
0.13948786113250256,0.7713165145864245
0.1422499969965125,0.7295658962931864
0.14501213286052245,0.7003882760800999
0.14777426872453242,0.6459036644790209
0.15053640458854234,0.6146415462352744
0.1532985404525523,0.5728310584490831
0.15606067631656226,0.5255952165410264
0.1588228121805722,0.5170867208217197
0.16158494804458218,0.43813683267633907
0.1643470839085921,0.3925872875118026
0.16710921977260207,0.37975661374701125
0.16987135563661201,0.3210732049608331
0.17263349150062196,0.34546319122727637
0.17539562736463193,0.3077687818388478
0.17815776322864185,0.28554892749898525
0.18091989909265183,0.2688938187535904
0.18368203495666177,0.260048237300829
0.18644417082067172,0.25982840386038397
0.1892063066846817,0.24923716856729825
0.1919684425486916,0.2073279754938152
0.19473057841270158,0.20398328196003024
0.19749271427671153,0.20599376023390825
0.20025485014072147,0.17998989392568698
0.20301698600473145,0.1749545865539639
0.20577912186874137,0.15499584719831033
0.20854125773275134,0.14142615026619157
0.21130339359676129,0.1500342077959341
0.21406552946077123,0.12480181982865367
0.2168276653247812,0.10461807984410777
0.21958980118879112,0.1099462263762375
0.2223519370528011,0.11390833687264584
0.22511407291681104,0.0984751813806653
0.227876208780821,0.11102281208664778
0.23063834464483096,0.0925663983650007
0.23340048050884088,0.08303349614695385
0.23616261637285085,0.08361619126308593
0.2389247522368608,0.07994187853723764
0.24168688810087074,0.07788716496965743
0.24444902396488072,0.06893090893761658
0.24721115982889064,0.07393819647619264
0.2499732956929006,0.06143114191189391
0.2527354315569106,0.06251302066822821
0.2554975674209205,0.054572506748827514
0.2582597032849305,0.053797589527681905
0.2610218391489404,0.051174910191147685
0.26378397501295037,0.0461783702904107
0.26654611087696034,0.04786138657663166
0.26930824674097026,0.047663382281326244
0.27207038260498023,0.04329032638221529
0.27483251846899015,0.042763912335070174
0.2775946543330001,0.04499720963982538
0.2803567901970101,0.04069680612813182
0.28311892606102,0.040199111481871594
0.28588106192503,0.03551445595208053
0.2886431977890399,0.0311930807044931
0.2914053336530499,0.03299882356470164
0.29416746951705985,0.03387516213147101
0.29692960538106977,0.036633019605000455
0.29969174124507975,0.03094451145501295
0.30245387710908966,0.028599660567263242
0.30521601297309964,0.028594236251582958
0.3079781488371096,0.025756904898950682
0.31074028470111953,0.02510802359315679
0.3135024205651295,0.02489141301432061
0.3162645564291394,0.02547713483898763
0.3190266922931494,0.02399670248126968
0.32178882815715937,0.0217499218904628
0.3245509640211693,0.022299025393926863
0.32731309988517926,0.021458071291601467
0.3300752357491892,0.019741857860687332
0.33283737161319915,0.019869954868419387
0.3355995074772091,0.019143962073364613
0.33836164334121904,0.017160549303953703
0.341123779205229,0.01876619926344927
0.34388591506923893,0.01988148349418345
0.3466480509332489,0.01755753625583605
0.3494101867972589,0.016845532579671488
0.3521723226612688,0.015772025031615993
0.3549344585252788,0.01566784125972069
0.3576965943892887,0.014362748831569785
0.36045873025329866,0.014202449773338796
0.36322086611730864,0.01457948850213699
0.36598300198131856,0.0137834147802355
0.36874513784532853,0.013655959822395591
0.37150727370933845,0.01393503465986255
0.3742694095733484,0.012563035537447025
0.3770315454373584,0.012904165450379144
0.3797936813013683,0.012702813468695917
0.3825558171653783,0.011796974055819977
0.3853179530293882,0.010817796190483451
0.3880800888933982,0.0117288132605231
0.39084222475740815,0.010496875633467148
0.39360436062141807,0.010565271615243243
0.39636649648542804,0.010551511771490621
0.39912863234943796,0.009380542433799167
0.40189076821344794,0.009802318994963689
0.4046529040774579,0.008696179230773688
0.4074150399414678,0.009475866085146946
0.4101771758054778,0.008729221838167874
0.4129393116694877,0.008957279602405251
0.4157014475334977,0.009156810416697195
0.41846358339750767,0.008518406763515013
0.4212257192615176,0.008650868413562133
0.42398785512552756,0.00804198340098581
0.4267499909895375,0.00855682390942074
0.42951212685354745,0.008268802451793936
0.4322742627175574,0.0078068758713038386
