lambda2,Var_dP
0.0025000000000000005,13948057.531177059
0.004235323759133283,13886738.787538737
0.006425422020660114,13812749.880795278
0.009070294784580497,13715415.196612313
0.01216994205089443,13590370.938071258
0.015724363819601916,13432553.320523981
0.01973356009070295,13236146.904657383
0.02419753086419753,12994492.538840044
0.029116276140085665,12699989.58658906
0.03448979591836735,12344085.229072012
0.04031809019904258,11917523.443810847
0.04660115898211137,11411107.572938057
0.053339002267573675,10817267.423876265
0.06053162005542956,10132642.667447414
0.068179012345679,9361618.87727436
0.07628117913832197,8520239.023458056
0.0848381204333585,7639230.362815585
0.09384983623078859,6764284.529908588
0.10331632653061222,5951645.7661236795
0.1132375913328294,5257990.342874741
0.12361363063744014,4725746.882636279
0.13444444444444442,4367963.749096503
0.14573003275384225,4159217.557075519
0.15747039556563364,4038938.2118934374
0.16966553287981853,3929489.3744104034
0.18231544469639702,3764023.0098990453
0.19542013101536904,3512026.5199843463
0.20897959183673462,3188774.0648691794
0.22299382716049376,2841923.7817367557
0.23746283698664644,2521941.03588767
0.25238662131519274,2254362.936358389
0.2677651801461325,2031679.4361271677
0.28359851347946585,1828791.881405964
0.29988662131519267,1628247.2502490035
0.31662950365331316,1434619.163247355
0.3338271604938271,1268035.1780081529
0.3514795918367347,1145325.4196820594
0.36958679768203573,1066285.5947546824
0.3881487780297304,1014915.3533494775
0.40716553287981855,971218.5891612548
0.42663706223230036,922616.7358081955
0.44656336608717556,867819.4614686562
0.46694444444444444,812560.8408536519
0.48778029730410677,761392.318979882
0.5090709246661628,712723.5792199371
0.5308163265306122,662052.0383963535
0.5530165028974553,609151.8197686155
0.5756714537666918,559587.624974358
0.5987811791383219,518707.5292218676
0.6223456790123456,486187.86650767206
0.6463649533887628,456749.13563433
0.6708390022675736,424725.2327779564
0.6957678256487779,388462.61086142046
0.7211514235323759,351620.70277724415
0.7469897959183672,319748.66093387356
0.7732829428067522,295330.6302380148
0.8000308641975308,276519.3303195178
0.8272335600907029,259629.1603998258
0.8548910304862685,242107.58693433352
0.8830032753842277,224138.8735973662
0.9115702947845804,207777.89014418836
0.9405920886873268,194034.81280687306
0.9700686570924665,181645.97538792662
1.0,293349.14928788313
