k,P(k)
0.0013810679320049757,14066258.439266426
0.004143203796014927,5922752.7570457645
0.006905339660024878,4063738.4217568245
0.009667475524034831,2595649.915354282
0.01242961138804478,1488764.1821296825
0.015191747252054733,731166.8748143463
0.017953883116064683,1154567.8780746986
0.020716018980074635,482067.32688465837
0.023478154844084588,336050.19698951027
0.02624029070809454,430175.13082125614
0.02900242657210449,209498.87256743194
0.031764562436114446,195065.94350047273
0.03452669830012439,128742.03601964221
0.037288834164134345,87120.92823667228
0.0400509700281443,54317.25955602847
0.04281310589215424,55614.74237474428
0.0455752417561642,63018.709464297666
0.04833737762017415,36156.5208689608
0.0510995134841841,27802.640011405525
0.053861649348194054,29531.083722142248
0.056623785212204,21047.405543864275
0.05938592107621396,19572.169697266618
0.062148056940223906,18480.2360539194
0.06491019280423385,13134.362230553965
0.06767232866824381,10584.24620441799
0.07043446453225377,9131.558313997517
0.07319660039626372,7823.8901790888185
0.07595873626027366,6519.902131338715
0.07872087212428361,6315.420634458429
0.08148300798829357,5435.476198299236
0.08424514385230353,4140.369816286789
0.08700727971631347,4001.721865102055
0.08976941558032342,3645.93807325325
0.09253155144433337,2652.787486751333
0.09529368730834333,2942.0892743786635
0.09805582317235328,2599.3241553814037
0.10081795903636323,1946.1186762811647
0.10358009490037318,2148.9975105955473
0.10634223076438312,1595.9279689800596
0.10910436662839308,1980.1065019599075
0.11186650249240304,1498.8348044084614
0.11462863835641299,1351.6043933463334
0.11739077422042293,1341.2372312404289
0.12015291008443288,982.1028166560799
0.12291504594844284,1012.4258027487476
0.1256771818124528,1018.9206252404362
0.12843931767646274,902.9499804778415
0.1312014535404727,772.5025495137821
0.13396358940448266,686.1573166184838
0.13672572526849258,573.9827449375332
0.13948786113250256,686.5677748720656
0.1422499969965125,521.7681555305888
0.14501213286052245,561.9235796944583
0.14777426872453242,562.8408256828803
0.15053640458854234,471.5468425767018
0.1532985404525523,414.7795678465009
0.15606067631656226,423.58318306259986
0.1588228121805722,397.94819138928375
0.16158494804458218,325.52366061200144
0.1643470839085921,310.52566262019354
0.16710921977260207,340.2482038914216
0.16987135563661201,270.68286122704745
0.17263349150062196,249.00516672000836
0.17539562736463193,260.5388671204531
0.17815776322864185,225.974360438878
0.18091989909265183,225.76289373479887
0.18368203495666177,218.04821010539897
0.18644417082067172,187.58936548956962
0.1892063066846817,190.48851175222674
0.1919684425486916,190.56953575299133
0.19473057841270158,162.6225209425938
0.19749271427671153,168.79849198540805
0.20025485014072147,170.58234808233902
0.20301698600473145,138.94356578289992
0.20577912186874137,133.2472684109208
0.20854125773275134,126.33412814397226
0.21130339359676129,113.0034132583363
0.21406552946077123,121.86848078053052
0.2168276653247812,118.30400369100234
0.21958980118879112,117.79196583537218
0.2223519370528011,98.77173497916009
0.22511407291681104,110.45519676006217
0.227876208780821,88.3074807130447
0.23063834464483096,94.51846638773668
0.23340048050884088,81.98221601962892
0.23616261637285085,71.84489763623175
0.2389247522368608,69.07440123598256
0.24168688810087074,72.26832772320682
0.24444902396488072,63.21602969627072
0.24721115982889064,69.2255603817654
0.2499732956929006,63.91580241800243
0.2527354315569106,59.94104762632355
0.2554975674209205,54.2612480579555
0.2582597032849305,60.43328559412108
0.2610218391489404,55.08285093650759
0.26378397501295037,47.07996177966077
0.26654611087696034,49.999196965727805
0.26930824674097026,42.13445649202424
0.27207038260498023,46.12837651324693
0.27483251846899015,41.842916576685134
0.2775946543330001,41.79241061823618
0.2803567901970101,41.656406598862816
0.28311892606102,38.773732850399846
0.28588106192503,44.05887981423714
0.2886431977890399,41.25894562971204
0.2914053336530499,38.14591088452315
0.29416746951705985,33.83580316079151
0.29692960538106977,32.92662241005154
0.29969174124507975,33.254496284732134
0.30245387710908966,32.056459431426326
0.30521601297309964,30.64876108364008
0.3079781488371096,28.416746268727707
0.31074028470111953,31.58124535688717
0.3135024205651295,28.023998851462064
0.3162645564291394,28.51742587920359
0.3190266922931494,23.842809811770863
0.32178882815715937,24.6096256392312
0.3245509640211693,23.561600609555168
0.32731309988517926,23.64307213569311
0.3300752357491892,23.897242916658573
0.33283737161319915,21.98685323688922
0.3355995074772091,22.026276461546804
0.33836164334121904,19.747182978049636
0.341123779205229,20.50450525696205
0.34388591506923893,21.483078149365152
0.3466480509332489,16.69781783272783
0.3494101867972589,19.331060778505314
0.3521723226612688,18.009691204909647
0.3549344585252788,16.145481292732335
0.3576965943892887,15.518062055401757
0.36045873025329866,16.58275827046393
0.36322086611730864,15.099928083701723
0.36598300198131856,16.58132752594849
0.36874513784532853,15.07745424203022
0.37150727370933845,13.53157283378486
0.3742694095733484,13.56225214279044
0.3770315454373584,13.841028182491131
0.3797936813013683,13.192051057865742
0.3825558171653783,13.524355759553275
0.3853179530293882,12.462072833805324
0.3880800888933982,12.340705808414855
0.39084222475740815,10.64514565087197
0.39360436062141807,12.550163729231715
0.39636649648542804,11.049065221304794
0.39912863234943796,11.004226393153228
0.40189076821344794,11.170426787175892
0.4046529040774579,10.491084328817658
0.4074150399414678,10.621439729596485
0.4101771758054778,9.894075896398327
0.4129393116694877,10.001671364500227
0.4157014475334977,8.898256285508921
0.41846358339750767,8.531596443469782
0.4212257192615176,9.272600805803005
0.42398785512552756,8.902334279934205
0.4267499909895375,9.18113222527892
0.42951212685354745,8.439309931299501
0.4322742627175574,8.375055273726971
0.43503639858156734,8.156273033270947
0.4377985344455773,7.787399765768729
0.44056067030958723,8.339801012214435
0.4433228061735972,7.808682896090804
0.4460849420376072,7.040799483877607
0.4488470779016171,7.75439507009235
