k,P(k)
0.0013810679320049757,23081861.863634013
0.004143203796014927,1023625.5763693053
0.006905339660024878,504146.5124781851
0.009667475524034831,684667.2502894832
0.01242961138804478,239950.7445825942
0.015191747252054733,231450.2617596356
0.017953883116064683,254870.00912732637
0.020716018980074635,156082.57617354905
0.023478154844084588,96403.35500109848
0.02624029070809454,179459.8324155048
0.02900242657210449,90423.07022581868
0.031764562436114446,139697.54998400976
0.03452669830012439,79852.90028547186
0.037288834164134345,81259.43994571746
0.0400509700281443,49260.885233768495
0.04281310589215424,48880.06775012968
0.0455752417561642,52631.4988859741
0.04833737762017415,32733.565922307254
0.0510995134841841,27058.30375681089
0.053861649348194054,28444.848098461902
0.056623785212204,23990.198522259678
0.05938592107621396,30452.240124194417
0.062148056940223906,22297.030030510046
0.06491019280423385,17402.255865943946
0.06767232866824381,18081.901436307497
0.07043446453225377,15225.489712246796
0.07319660039626372,17517.993077534986
0.07595873626027366,11481.50638373906
0.07872087212428361,11531.725595314636
0.08148300798829357,8965.164809016402
0.08424514385230353,9262.730149893345
0.08700727971631347,8415.362377012687
0.08976941558032342,7421.240205965643
0.09253155144433337,6792.510843910054
0.09529368730834333,4596.451178254108
0.09805582317235328,5996.593999916809
0.10081795903636323,4530.842813691642
0.10358009490037318,4328.967150126253
0.10634223076438312,4115.2994806472225
0.10910436662839308,3413.6058463888144
0.11186650249240304,3243.563725041693
0.11462863835641299,3007.407318188451
0.11739077422042293,2702.8950913387107
0.12015291008443288,2815.332325983603
0.12291504594844284,2686.8388069111484
0.1256771818124528,2002.3630829227466
0.12843931767646274,1732.9974236918918
0.1312014535404727,1813.6818750108152
0.13396358940448266,1542.2969782302619
0.13672572526849258,1488.744702329461
0.13948786113250256,1313.0520407612657
0.1422499969965125,1240.788170003014
0.14501213286052245,1197.9566504825907
0.14777426872453242,1149.9188773838757
0.15053640458854234,912.0829007212909
0.1532985404525523,948.9788799243734
0.15606067631656226,804.6067905928758
0.1588228121805722,698.1842184470078
0.16158494804458218,617.4376634563807
0.1643470839085921,644.0762012490401
0.16710921977260207,538.8730143468242
0.16987135563661201,499.21844655890476
0.17263349150062196,491.5821136110472
0.17539562736463193,437.34526471955155
0.17815776322864185,447.7599003866736
0.18091989909265183,386.2498218646661
0.18368203495666177,333.5726189142133
0.18644417082067172,309.70922808435665
0.1892063066846817,318.2952380791261
0.1919684425486916,243.93708929396024
0.19473057841270158,254.88759649784436
0.19749271427671153,226.5829638488531
0.20025485014072147,217.12163670294387
0.20301698600473145,212.94470704089403
0.20577912186874137,199.7745937743988
0.20854125773275134,165.95505965626313
0.21130339359676129,155.8021496924528
0.21406552946077123,147.86044991462506
0.2168276653247812,117.3335519435148
0.21958980118879112,106.16630299547747
0.2223519370528011,117.44760977991118
0.22511407291681104,106.68636851300744
0.227876208780821,98.05789365849957
0.23063834464483096,93.0036994776258
0.23340048050884088,89.98218920580075
0.23616261637285085,84.82436165108335
0.2389247522368608,70.71601028488344
0.24168688810087074,61.78466739945215
0.24444902396488072,72.35029142642377
0.24721115982889064,64.64237230528795
0.2499732956929006,60.84994707077108
0.2527354315569106,51.68812665869223
0.2554975674209205,55.45004375032055
0.2582597032849305,49.52940030187424
0.2610218391489404,39.89345910630713
0.26378397501295037,42.82105282751492
0.26654611087696034,39.02167096192518
0.26930824674097026,35.42195432448897
0.27207038260498023,30.611304122541505
0.27483251846899015,34.48826273010744
0.2775946543330001,28.138364926352956
0.2803567901970101,28.33952639174236
0.28311892606102,26.651226218718065
0.28588106192503,24.373443980069556
0.2886431977890399,22.865391883326826
0.2914053336530499,19.91846013668709
0.29416746951705985,19.992158367850845
0.29692960538106977,19.784503679328704
0.29969174124507975,16.310170368344888
0.30245387710908966,17.625339562379658
0.30521601297309964,15.085188532160792
0.3079781488371096,15.539635299293971
0.31074028470111953,13.118087605230402
0.3135024205651295,13.654227187648917
