lambda2,VarP
0.0025000000000000005,38.387158180601546
0.004235323759133283,60.44817629714089
0.006425422020660114,104.24404213251546
0.009070294784580497,180.2457347702366
0.01216994205089443,300.0275820687748
0.015724363819601916,475.1481686101688
0.01973356009070295,715.5033991180026
0.02419753086419753,1027.1547181849237
0.029116276140085665,1409.7929197565318
0.03448979591836735,1854.2208761723232
0.04031809019904258,2340.492031061207
0.04660115898211137,2837.544717035191
0.053339002267573675,3305.19721344989
0.06053162005542956,3699.0669249558414
0.068179012345679,3978.248816223848
0.07628117913832197,4114.483549424492
0.0848381204333585,4100.363932631443
0.09384983623078859,3953.431874121565
0.10331632653061222,3713.4699273954934
0.1132375913328294,3432.2810330664133
0.12361363063744014,3158.43048409375
0.13444444444444442,2922.4793859237325
0.14573003275384225,2729.263255714929
0.15747039556563364,2561.373550758686
0.16966553287981853,2392.630146994556
0.18231544469639702,2204.713204773706
0.19542013101536904,1997.9287051507538
0.20897959183673462,1790.2894922699852
0.22299382716049376,1606.0591245704286
0.23746283698664644,1461.218637479017
0.25238662131519274,1355.0141988603168
0.2677651801461325,1272.882486228509
0.28359851347946585,1198.5902433052177
0.29988662131519267,1126.202246704058
0.31662950365331316,1061.1454538637622
0.3338271604938271,1008.7698828362056
0.3514795918367347,963.3334683809217
0.36958679768203573,912.8343145575168
0.3881487780297304,855.6746259208103
0.40716553287981855,805.5197729249696
0.42663706223230036,773.9073388036453
0.44656336608717556,754.0448868757759
0.46694444444444444,730.1324429521717
0.48778029730410677,697.3233544406174
0.5090709246661628,662.5203181123626
0.5308163265306122,630.5233094192998
0.5530165028974553,599.8771303386895
0.5756714537666918,568.6557917698117
0.5987811791383219,537.2531353504962
0.6223456790123456,509.0380462379216
0.6463649533887628,489.30022651364834
0.6708390022675736,477.4010780936812
0.6957678256487779,462.83468247298316
0.7211514235323759,438.9453130202248
0.7469897959183672,415.8413916795313
0.7732829428067522,404.09040670029185
0.8000308641975308,394.95187202080024
0.8272335600907029,378.80455920011326
0.8548910304862685,363.2946545461222
0.8830032753842277,353.9509140615527
0.9115702947845804,345.08807651266613
0.9405920886873268,333.7853383354936
0.9700686570924665,321.6114876359603
1.0,309.7714363894336
